Car Names,Years of Production,Number Of,BodyStyles
   Seat Ibiza 1.2i CLX,1991 - 1993,5,"Hatchback
"
   Seat Ibiza 1.3i CL,1993 - 1995,5,"Hatchback
"
   Seat Ibiza 1.0i Conga,1996 - 1997,5,"Hatchback
"
   Seat Ibiza 1.4 Select,1999 - 2002,5,"Hatchback
"
   Seat Ibiza 1.2 12V,2004 - 2005,5,"Hatchback
"
   Seat Ibiza 1.2 12V Selection,2006 - 2006,5,"Hatchback
"
   Seat Ibiza 1.2 Club,2011 - 2012,5,"Hatchback
"
   Seat Ibiza 1.2 60hp Club,2012 - 2014,5,"Hatchback
"
   Seat Ibiza ST 1.2 Club,2011 - 2012,5,"Station wagon
"
   Seat Ibiza ST 1.2 60hp Club,2012 - 2014,5,"Station wagon
"
   Seat Leon 1.4 16V,2003 - 2005,5,"Hatchback
"
   Seat Leon 1.4 16V,2006 - 2009,5,"Hatchback
"
   Seat Leon 1.4,2009 - 2012,5,"Hatchback
"
   Seat Marbella L,1987 - 1989,3,"Hatchback
"
   Seat Mii 1.0 60hp Ecomotive Entry,2012 - 2015,3,"Hatchback
"
   Seat Mii 1.0 60hp Ecomotive Reference,2012 - 2019,5,"Hatchback
"
   Seat Toledo 1.6i CL,1991 - 1994,5,"Hatchback
"
   Seat Toledo 1.6i 75hp E,1995 - 1999,5,"Hatchback
"
   Seat Toledo 1.6 Stella,1999 - 2000,4,"Sedan
"
   Seat Toledo 1.6 Reference,2004 - 2006,5,"MPV
"
   Skoda Citigo 1.0 60hp Easy,2012 - 2016,3,"Hatchback
"
   Skoda Citigo 1.0 60hp Greentech Active,2012 - 2016,5,"Hatchback
"
   Skoda Fabia 1.0 Classic,2000 - 2000,5,"Hatchback
"
   Skoda Fabia 1.2 6V Classic,2004 - 2007,5,"Hatchback
"
   Skoda Fabia 1.2 6V Classic,2007 - 2009,5,"Hatchback
"
   Skoda Fabia 1.2 44kW Go,2010 - 2011,5,"Hatchback
"
   Skoda Fabia Sedan 1.2 12V Classic,2003 - 2004,4,"Sedan
"
   Skoda Fabia Sedan 1.4 16V 75hp Ambiente,2004 - 2006,4,"Sedan
"
   Skoda Fabia Combi 1.2 12V Classic,2003 - 2004,5,"Station wagon
"
   Skoda Fabia Combi 1.2 12V Classic,2004 - 2006,5,"Station wagon
"
   Skoda Fabia Combi 1.2 6V Go,2009 - 2010,5,"Station wagon
"
   Skoda Fabia Combi 1.2 44kW Go,2010 - 2011,5,"Station wagon
"
,,,
,,,
,,,
   Skoda Favorit 1.3 E,1990 - 1991,5,"Hatchback
"
   Skoda Favorit Estate 1.3 L,1992 - 1994,5,"Station wagon
"
   Skoda Felicia 1.3 LXe,1996 - 1998,5,"Hatchback
"
   Skoda Felicia 1.3 LX,1998 - 2001,5,"Hatchback
"
   Skoda Felicia Combi 1.3 LXe,1997 - 1998,5,"Station wagon
"
   Skoda Felicia Combi 1.3 LX,1998 - 2001,5,"Station wagon
"
   Skoda Octavia 1.6 75hp LX,1997 - 2000,5,"Hatchback
"
   Skoda Octavia 1.4 16V Classic,2000 - 2004,5,"Hatchback
"
   Skoda Octavia 1.4 16V Classic,2004 - 2009,5,"Hatchback
"
   Skoda Octavia 1.4 Go,2009 - 2011,5,"Hatchback
"
   Skoda Octavia Combi 1.6 100hp LX,1998 - 2000,5,"Station wagon
"
   Skoda Octavia Combi 1.6 Classic,2000 - 2004,5,"Station wagon
"
   Skoda Octavia Combi 1.6 Classic,2005 - 2009,5,"Station wagon
"
   Skoda Octavia Combi 1.4 Go,2009 - 2012,5,"Station wagon
"
   Skoda Roomster 1.2 12V,2006 - 2007,5,"MPV
"
   Skoda Roomster 1.2 Go,2010 - 2011,5,"MPV
"
   Skoda Superb 1.4 TSI Comfort,2008 - 2011,5,"Hatchback
"
   Skoda Superb 2.0 Classic,2002 - 2006,4,"Sedan
"
   Skoda Superb 2.0 Classic,2006 - 2008,4,"Sedan
"
   Skoda Superb Combi 1.4 TSI Comfort,2010 - 2011,5,"Station wagon
"
   Skoda Yeti 1.2 TSI Active,2009 - 2014,5,"SUV
"
   Smart city-coupe smart & pure 45hp,1998 - 2002,3,"Hatchback
"
   Smart city-coupe smart & pure 45hp,2002 - 2003,3,"Hatchback
"
   Smart city-coupe cabrio & pure 55hp,2001 - 2003,3,"Convertible
"
   Smart crossblade,2002 - 2003,3,"Convertible
"
   Smart forfour 1.0,2005 - 2006,5,"Hatchback
"
   Smart fortwo coupe pure 37kW,2004 - 2007,3,"Hatchback
"
   Smart fortwo coupe base 45kW,2007 - 2008,3,"Hatchback
"
   Smart fortwo coupe MHD base 45kW,2010 - 2012,3,"Hatchback
"
   Smart fortwo coupe MHD pure 45kW,2012 - 2014,3,"Hatchback
"
   Smart fortwo cabrio pure 52kW,2007 - 2008,2,"Convertible
"
   Smart fortwo cabrio MHD pure 52kW,2010 - 2012,2,"Convertible
"
   Smart fortwo cabrio MHD pure 52kW,2012 - 2016,2,"Convertible
"
   Smart fortwo cabrio pure 45kW,2004 - 2007,3,"Convertible
"
   Smart roadster 45kW,2003 - 2006,2,"Convertible
"
   Smart roadster-coupe 60kW,2003 - 2006,3,"Convertible
"
   Ssangyong Actyon A230 2WD Direct,2007 - 2008,5,"SUV
"
   Ssangyong Actyon Sports A200 Xdi 2WD Direct,2007 - 2009,4,"Pick-up
"
   Ssangyong Korando K4,1995 - 1996,3,"SUV
"
   Ssangyong Korando E 2.3 Softtop,1999 - 2002,3,"SUV
"
   Ssangyong Korando 2.0 Crystal 2WD,2012 - 2013,5,"SUV
"
   Ssangyong Kyron K 200 Xdi 2WD Direct,2006 - 2007,5,"SUV
"
   Ssangyong Kyron M 200 Xdi 2WD Direct,2007 - 2009,5,"SUV
"
   Ssangyong Musso E 2.3,1997 - 1998,5,"SUV
"
   Ssangyong Musso E 2.3,1998 - 2002,5,"SUV
"
   Ssangyong Rexton RJ 230,2005 - 2006,5,"SUV
"
   Ssangyong Rexton RX 270 Xdi Direct,2007 - 2009,5,"SUV
"
   Ssangyong Rexton XDI Crystal,2011 - 2013,5,"SUV
"
,,,
,,,
,,,
   Ssangyong Rodius SV 270J,2005 - 2008,5,"MPV
"
   Subaru BRZ Sport,2012 - 2015,2,"Coupe
"
   Subaru Forester 2.0 AWD,1997 - 2000,5,"SUV
"
   Subaru Forester 2.0 AWD,2000 - 2002,5,"SUV
"
   Subaru Forester 2.0 X AWD,2002 - 2005,5,"SUV
"
   Subaru Forester 2.0 X AWD,2005 - 2008,5,"SUV
"
   Subaru Forester 2.0 Comfort,2008 - 2011,5,"SUV
"
   Subaru Forester 2.0 Intro,2011 - 2013,5,"SUV
"
   Subaru Impreza 1.5R Comfort,2008 - 2012,5,"Hatchback
"
   Subaru Impreza 1.6 LX,1993 - 1997,4,"Sedan
"
   Subaru Impreza 1.6 LX,1997 - 1998,4,"Sedan
"
   Subaru Impreza 1.6 GL AWD,1998 - 2000,4,"Sedan
"
   Subaru Impreza 1.6 TS AWD,2000 - 2003,4,"Sedan
"
   Subaru Impreza 1.6 TS AWD,2003 - 2005,4,"Sedan
"
   Subaru Impreza 1.5R AWD,2006 - 2007,4,"Sedan
"
   Subaru Impreza Plus 1.6 LX,1993 - 1997,5,"Station wagon
"
   Subaru Impreza Plus 1.6 LX,1997 - 1998,5,"Station wagon
"
   Subaru Impreza Plus 1.6 GL AWD,1998 - 2000,5,"Station wagon
"
   Subaru Impreza Plus 1.6 TS AWD,2000 - 2003,5,"Station wagon
"
   Subaru Impreza Plus 1.6 TS AWD,2003 - 2005,5,"Station wagon
"
   Subaru Impreza Plus 1.5R AWD,2006 - 2007,5,"Station wagon
"
   Subaru Justy 1.0 DL,1984 - 1989,3,"Hatchback
"
   Subaru Justy 1.0 DL,1989 - 1994,3,"Hatchback
"
   Subaru Justy 1.3 GX AWD,1996 - 2000,3,"Hatchback
"
   Subaru Justy 1.0 GL,1984 - 1989,5,"Hatchback
"
   Subaru Justy 1.0 GL,1989 - 1994,5,"Hatchback
"
   Subaru Justy 1.3 GXE AWD,1997 - 2003,5,"Hatchback
"
   Subaru Justy 1.0,2009 - 2011,5,"Hatchback
"
   Subaru Legacy 1.8 DL,1989 - 1994,4,"Sedan
"
   Subaru Legacy 2.0 LX,1994 - 1997,4,"Sedan
"
   Subaru Legacy 2.0 GL AWD,1997 - 1999,4,"Sedan
"
   Subaru Legacy 2.0 LX AWD,1999 - 2002,4,"Sedan
"
   Subaru Legacy 2.0 GL AWD,2002 - 2003,4,"Sedan
"
   Subaru Legacy 2.0i,2003 - 2005,4,"Sedan
"
   Subaru Legacy 2.0R Comfort,2006 - 2008,4,"Sedan
"
   Subaru Legacy 2.0i Corporate Edition,2010 - 2012,4,"Sedan
"
   Subaru Legacy Stationwagon 1.8 DL,1989 - 1994,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0 LX,1994 - 1997,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0 GL AWD,1997 - 1998,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0 LX AWD,1998 - 2002,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0 GL AWD,2002 - 2003,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0i,2003 - 2005,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0R,2007 - 2008,5,"Station wagon
"
   Subaru Legacy Touring Wagon 2.0i Corporate Edition,2010 - 2012,5,"Station wagon
"
   Subaru Legacy Outback 2.5 AWD,1997 - 1998,5,"SUV
"
   Subaru Legacy Outback 2.5 AWD,1998 - 2002,5,"SUV
"
   Subaru Legacy Outback 2.5 AWD,2002 - 2003,5,"SUV
"
   Subaru Mini Jumbo DL,1982 - 1988,3,"Hatchback
"
,,,
,,,
,,,
   Subaru Mini Jumbo DL,1988 - 1991,3,"Hatchback
"
   Subaru Mini Jumbo DL,1982 - 1988,5,"Hatchback
"
   Subaru Mini Jumbo SDX,1988 - 1991,5,"Hatchback
"
   Subaru Outback 2.5i Luxury,2009 - 2012,5,"Station wagon
"
   Subaru Outback 2.5i,2003 - 2006,5,"SUV
"
   Subaru Outback 2.5i Comfort,2006 - 2007,5,"SUV
"
   Subaru SVX,1992 - 1997,3,"Coupe
"
   Subaru Trezia 1.3 Intro,2011 - 2015,5,"Hatchback
"
   Subaru B9 Tribeca 3.0R Comfort,2006 - 2008,5,"SUV
"
   Subaru Tribeca 3.6 Luxury,2008 - 2010,5,"SUV
"
   Subaru Vivio GLi Basic,1994 - 1996,3,"Hatchback
"
   Subaru Vivio GLi,1992 - 2000,5,"Hatchback
"
   Subaru WRX STI 2.5T Sport,2010 - 2014,5,"Hatchback
"
   Subaru WRX STI 2.5T Sport,2010 - 2014,4,"Sedan
"
   Suzuki Alto,1981 - 1983,3,"Hatchback
"
   Suzuki Alto E,1985 - 1986,3,"Hatchback
"
   Suzuki Alto,1986 - 1988,3,"Hatchback
"
   Suzuki Alto GA,1988 - 1993,3,"Hatchback
"
   Suzuki Alto 1.0 GA,1995 - 1996,3,"Hatchback
"
   Suzuki Alto 1.0 GA,2000 - 2002,3,"Hatchback
"
   Suzuki Alto FX,1981 - 1983,4,"Hatchback
"
   Suzuki Alto FX,1983 - 1986,4,"Hatchback
"
   Suzuki Alto GL,1986 - 1988,5,"Hatchback
"
   Suzuki Alto GL,1988 - 1993,5,"Hatchback
"
   Suzuki Alto 1.0 GL,1996 - 1996,5,"Hatchback
"
   Suzuki Alto 1.0 GA,2000 - 2002,5,"Hatchback
"
   Suzuki Alto 1.1 GL,2002 - 2004,5,"Hatchback
"
   Suzuki Alto 1.0 Base,2009 - 2012,5,"Hatchback
"
   Suzuki Baleno 1.3 GL,1995 - 1996,3,"Hatchback
"
   Suzuki Baleno 1.6 Sport,1998 - 2001,3,"Hatchback
"
   Suzuki Baleno 1.3 GL,1995 - 1996,4,"Sedan
"
   Suzuki Baleno 1.3 GLX,1997 - 1998,4,"Sedan
"
   Suzuki Baleno 1.3 GL,1998 - 2001,4,"Sedan
"
   Suzuki Baleno Wagon 1.6 GLX,1996 - 1997,5,"Station wagon
"
   Suzuki Baleno Wagon 1.3 GLX,1997 - 1998,5,"Station wagon
"
   Suzuki Baleno Wagon 1.3 GL,1998 - 2000,5,"Station wagon
"
   Suzuki Grand Vitara 1.6 JX,2005 - 2008,3,"SUV
"
   Suzuki Grand Vitara 1.6 Base,2008 - 2010,3,"SUV
"
   Suzuki Grand Vitara 1.6 Comfort,2010 - 2012,3,"SUV
"
   Suzuki Grand Vitara Cabrio 1.6,2000 - 2004,3,"SUV
"
   Suzuki Grand Vitara Metal Top 1.6,2000 - 2001,3,"SUV
"
   Suzuki Grand Vitara 2.0,1998 - 2005,5,"SUV
"
   Suzuki Grand Vitara 2.0 JX,2005 - 2008,5,"SUV
"
   Suzuki Grand Vitara 2.0 Comfort,2008 - 2010,5,"SUV
"
   Suzuki Grand Vitara 2.4 Exclusive,2010 - 2012,5,"SUV
"
   Suzuki Grand Vitara XL-7 2.7 V6,2001 - 2004,5,"SUV
"
   Suzuki Grand Vitara XL-7 2.7 V6,2004 - 2006,5,"SUV
"
   Suzuki Ignis 1.3 GL,2003 - 2005,3,"Hatchback
"
,,,
,,,
,,,
   Suzuki Ignis 1.3 GL,2001 - 2002,5,"Hatchback
"
   Suzuki Ignis 1.3 GA,2003 - 2006,5,"Hatchback
"
   Suzuki Jimny 1.3 2WD JX,1998 - 2001,3,"SUV
"
   Suzuki Jimny Metal Top 1.3 JX,2005 - 2012,3,"SUV
"
   Suzuki Kizashi 2.4 Sport,2010 - 2015,4,"Sedan
"
   Suzuki Liana 1.3 GLS,2001 - 2002,5,"Hatchback
"
   Suzuki Liana 1.6 GLS,2004 - 2007,5,"Hatchback
"
   Suzuki Liana 1.6 GLX,2002 - 2004,4,"Sedan
"
   Suzuki Liana 1.6 GLS,2004 - 2007,4,"Sedan
"
   Suzuki Samurai Cabrio De Luxe,1988 - 1990,2,"SUV
"
   Suzuki Samurai Metal Top De Luxe,1988 - 1990,2,"SUV
"
   Suzuki Samurai Metal Top De Luxe,1990 - 1992,3,"SUV
"
   Suzuki Splash 1.0 Base,2008 - 2010,5,"MPV
"
   Suzuki Swift 1.0,1984 - 1986,3,"Hatchback
"
   Suzuki Swift 1.0 GA,1986 - 1989,3,"Hatchback
"
   Suzuki Swift 1.0 GA,1989 - 1991,3,"Hatchback
"
   Suzuki Swift 1.0,1991 - 1995,3,"Hatchback
"
   Suzuki Swift 1.0 GA,1995 - 1996,3,"Hatchback
"
   Suzuki Swift 1.0 GL,1996 - 2000,3,"Hatchback
"
   Suzuki Swift 1.3 GA,2005 - 2007,3,"Hatchback
"
   Suzuki Swift 1.2 Base,2010 - 2013,3,"Hatchback
"
   Suzuki Swift 1.3 GC,1984 - 1986,5,"Hatchback
"
   Suzuki Swift 1.0 GL,1986 - 1989,5,"Hatchback
"
   Suzuki Swift 1.3 GL,1989 - 1991,5,"Hatchback
"
   Suzuki Swift 1.0 GC,1995 - 1996,5,"Hatchback
"
   Suzuki Swift 1.0 GC,1995 - 1995,5,"Hatchback
"
   Suzuki Swift 1.0 GL,1996 - 1998,5,"Hatchback
"
   Suzuki Swift 1.3 GA,2005 - 2007,5,"Hatchback
"
   Suzuki Swift 1.2 Comfort,2010 - 2012,5,"Hatchback
"
   Suzuki Swift 1.3 GL,1990 - 1991,4,"Sedan
"
   Suzuki Swift 1.3 GL,1991 - 1995,4,"Sedan
"
   Suzuki Swift 1.3 GX,1995 - 1996,4,"Sedan
"
   Suzuki Swift Cabrio 1.3,1992 - 1995,2,"Convertible
"
   Suzuki SX4 1.6 Comfort,2007 - 2010,4,"Sedan
"
   Suzuki SX4 1.5 Base,2006 - 2010,5,"SUV
"
   Suzuki SX4 1.6 Comfort,2010 - 2013,5,"SUV
"
   Suzuki Vitara Cabrio JA,1994 - 1995,2,"SUV
"
   Suzuki Vitara Metal Top JX,1997 - 2001,3,"SUV
"
   Suzuki Vitara Villager JLX 16V,1994 - 1999,5,"SUV
"
   Suzuki Vitara Wagon JLX,1991 - 1994,5,"SUV
"
   Suzuki Wagon R+ 1.0 GA,1998 - 2000,5,"MPV
"
   Suzuki Wagon R+ 1.0 GA Basic,2002 - 2003,5,"MPV
"
   Suzuki Wagon R+ 1.0 GA,2003 - 2006,5,"MPV
"
   Suzuki Wagon R+ 1.0 Base,2006 - 2008,5,"MPV
"
   Tesla Roadster,2010 - 2012,2,"Convertible
"
   Think City,2009 - 2013,3,"Hatchback
"
   Toyota Auris 1.3 16v VVT-i Access,2009 - 2010,3,"Hatchback
"
   Toyota Auris 1.3 VVT-i Comfort,2010 - 2012,3,"Hatchback
"
,,,
,,,
,,,
   Toyota Auris 1.3 16v VVT-i Comfort,2009 - 2010,5,"Hatchback
"
   Toyota Auris 1.3 VVT-i Comfort,2010 - 2013,5,"Hatchback
"
   Toyota Avensis 1.6 Linea Terra,1997 - 2000,5,"Hatchback
"
   Toyota Avensis 1.6 16v VVT-i Linea Terra E,2000 - 2003,5,"Hatchback
"
   Toyota Avensis 1.8 16v VVT-i Linea Terra,2003 - 2006,5,"Hatchback
"
   Toyota Avensis 1.8 16v VVT-i Luna,2006 - 2008,5,"Hatchback
"
   Toyota Avensis 1.6 Linea Terra E,1999 - 2000,4,"Sedan
"
   Toyota Avensis 1.6 16v VVT-i Linea Terra E,2000 - 2003,4,"Sedan
"
   Toyota Avensis 1.6 16v VVT-i Linea Terra,2003 - 2006,4,"Sedan
"
   Toyota Avensis 1.6 16v VVT-i Terra,2006 - 2009,4,"Sedan
"
   Toyota Avensis 1.6 VVT-i Comfort,2009 - 2012,4,"Sedan
"
   Toyota Avensis 1.6 VVT-i Comfort,2012 - 2015,4,"Sedan
"
   Toyota Avensis Wagon 1.6 Linea Terra,1997 - 2000,5,"Station wagon
"
   Toyota Avensis Wagon 1.6 16v VVT-i Linea Terra E,2000 - 2003,5,"Station wagon
"
   Toyota Avensis Wagon 1.8 16v VVT-i Linea Terra,2003 - 2006,5,"Station wagon
"
   Toyota Avensis Wagon 1.6 16v VVT-i Terra,2007 - 2009,5,"Station wagon
"
   Toyota Avensis Wagon 1.6 VVT-i Comfort,2009 - 2012,5,"Station wagon
"
   Toyota Avensis Wagon 1.6 VVT-i Comfort,2012 - 2013,5,"Station wagon
"
   Toyota Avensis Verso 2.0 16v VVT-i Linea Terra,2001 - 2003,5,"MPV
"
   Toyota Avensis Verso 2.0 16v VVT-i Linea Terra,2003 - 2006,5,"MPV
"
   Toyota Aygo 1.0 12v VVT-i,2005 - 2009,3,"Hatchback
"
   Toyota Aygo 1.0 12v VVT-i Access,2009 - 2012,3,"Hatchback
"
   Toyota Aygo 1.0 12v VVT-i Access,2012 - 2014,3,"Hatchback
"
   Toyota Aygo 1.0 12v VVT-i,2005 - 2009,5,"Hatchback
"
   Toyota Aygo 1.0 12v VVT-i Access,2009 - 2012,5,"Hatchback
"
   Toyota Aygo 1.0 12v VVT-i Access,2012 - 2014,5,"Hatchback
"
   Toyota Camry 1.8 DX,1983 - 1987,5,"Hatchback
"
   Toyota Camry 1.8 DX,1983 - 1987,4,"Sedan
"
   Toyota Camry 1.8 XL,1987 - 1989,4,"Sedan
"
   Toyota Camry 2.2 XLi,1991 - 1996,4,"Sedan
"
   Toyota Camry 2.2i GL,1996 - 1999,4,"Sedan
"
   Toyota Camry 2.2i GL,1999 - 2001,4,"Sedan
"
   Toyota Camry 2.4 16v VVT-i Linea Luna,2001 - 2004,4,"Sedan
"
   Toyota Camry Customwagon 2.2 XLi,1992 - 1996,5,"Station wagon
"
   Toyota Camry Stationwagon 1.8 XL,1987 - 1989,5,"Station wagon
"
   Toyota Carina E 1.6i,1992 - 1994,5,"Hatchback
"
   Toyota Carina E 1.8 XLi,1996 - 1997,5,"Hatchback
"
   Toyota Carina II 1.6 DX,1986 - 1988,5,"Hatchback
"
   Toyota Carina II 1.6 XL,1988 - 1990,5,"Hatchback
"
   Toyota Carina 1600,1980 - 1981,2,"Sedan
"
   Toyota Carina 1600 Luxe,1980 - 1981,4,"Sedan
"
   Toyota Carina 1.6 DL,1981 - 1984,4,"Sedan
"
   Toyota Carina E 1.6i,1992 - 1994,4,"Sedan
"
   Toyota Carina E 1.6 XLi,1996 - 1997,4,"Sedan
"
   Toyota Carina II 1.6 DL,1986 - 1988,4,"Sedan
"
   Toyota Carina II 1.6 DL,1988 - 1990,4,"Sedan
"
   Toyota Carina Combi 1600 Luxe,1980 - 1981,5,"Station wagon
"
   Toyota Carina Combi 1.6 DX,1981 - 1984,5,"Station wagon
"
,,,
,,,
,,,
   Toyota Carina E Stationwagon 1.6i,1993 - 1994,5,"Station wagon
"
   Toyota Carina E Stationwagon 1.8 XLi,1996 - 1997,5,"Station wagon
"
   Toyota Carina II Stationwagon 1.6 XL,1988 - 1990,5,"Station wagon
"
   Toyota Celica 2.0 GTi,1985 - 1987,3,"Hatchback
"
   Toyota Celica Coupe 1600 LT,1980 - 1981,2,"Coupe
"
   Toyota Celica Coupe 1.6 ST,1981 - 1983,2,"Coupe
"
   Toyota Celica Coupe 1.6 ST,1983 - 1985,2,"Coupe
"
   Toyota Celica 1.6 ST,1985 - 1990,2,"Coupe
"
   Toyota Celica 1.6 STi,1990 - 1994,3,"Coupe
"
   Toyota Celica 1.8i,1994 - 1999,3,"Coupe
"
   Toyota Celica 1.8 VVT-i,1999 - 2002,3,"Coupe
"
   Toyota Celica 1.8 VVT-i,2002 - 2005,3,"Coupe
"
   Toyota Celica Liftback 2000 ST,1980 - 1981,3,"Coupe
"
   Toyota Celica Liftback 2.0 XT,1981 - 1983,3,"Coupe
"
   Toyota Celica Liftback 1.6 GTSi,1983 - 1985,3,"Coupe
"
   Toyota Celica 1.6 ST,1985 - 1990,3,"Coupe
"
   Toyota Celica 2.0i Convertible,1991 - 1994,2,"Convertible
"
   Toyota Celica Convertible 2.0i GT,1995 - 1999,2,"Convertible
"
   Toyota Corolla 1.3 Economic,1985 - 1987,3,"Hatchback
"
   Toyota Corolla 1.3 Economic,1987 - 1990,3,"Hatchback
"
   Toyota Corolla 1.3i Friend,1992 - 1995,3,"Hatchback
"
   Toyota Corolla 1.3,1997 - 2000,3,"Hatchback
"
   Toyota Corolla 1.4 16v VVT-i,2000 - 2001,3,"Hatchback
"
   Toyota Corolla 1.4 16v VVT-i,2002 - 2004,3,"Hatchback
"
   Toyota Corolla 1.4 16v VVT-i,2004 - 2007,3,"Hatchback
"
   Toyota Corolla Liftback 1.3 DX,1982 - 1983,3,"Hatchback
"
   Toyota Corolla 1.3 XL,1987 - 1988,5,"Hatchback
"
   Toyota Corolla 1.3 XLi,1992 - 1995,5,"Hatchback
"
   Toyota Corolla 1.3 Linea Terra,1997 - 2000,5,"Hatchback
"
   Toyota Corolla 1.4 16v VVT-i Linea Terra,2000 - 2002,5,"Hatchback
"
   Toyota Corolla 1.4 16v VVT-i,2002 - 2004,5,"Hatchback
"
   Toyota Corolla 1.4 16v VVT-i Linea Terra,2004 - 2007,5,"Hatchback
"
   Toyota Corolla Liftback 1.3 GL,1983 - 1985,5,"Hatchback
"
   Toyota Corolla 1.3 DX,1985 - 1987,5,"Hatchback
"
   Toyota Corolla Liftback 1.3 XL,1987 - 1990,5,"Hatchback
"
   Toyota Corolla Liftback 1.3 XLi,1993 - 1994,5,"Hatchback
"
   Toyota Corolla 1300 Special,1980 - 1982,2,"Sedan
"
   Toyota Corolla 1.3,1982 - 1983,2,"Sedan
"
   Toyota Corolla Coupe 1300 DX,1980 - 1982,3,"Sedan
"
   Toyota Corolla 1300 Special,1980 - 1982,4,"Sedan
"
   Toyota Corolla 1.3 DX,1982 - 1983,4,"Sedan
"
   Toyota Corolla 1.3,1983 - 1985,4,"Sedan
"
   Toyota Corolla 1.3 DX,1985 - 1987,4,"Sedan
"
   Toyota Corolla 1.3 XL,1987 - 1991,4,"Sedan
"
   Toyota Corolla 1.3i Spirit,1995 - 1995,4,"Sedan
"
   Toyota Corolla 1.3 Linea Terra,1997 - 2000,4,"Sedan
"
   Toyota Corolla 1.6 16v VVT-i Linea Terra,2000 - 2002,4,"Sedan
"
   Toyota Corolla 1.4 16v VVT-i Linea Terra,2003 - 2004,4,"Sedan
"
,,,
,,,
,,,
   Toyota Corolla 1.4 16v VVT-i Linea Terra,2004 - 2005,4,"Sedan
"
   Toyota Corolla 1.3 16v VVT-i Comfort,2009 - 2010,4,"Sedan
"
   Toyota Corolla Combi 1300,1980 - 1982,3,"Station wagon
"
   Toyota Corolla Combi 1.3,1982 - 1983,3,"Station wagon
"
   Toyota Corolla Combi 1300,1980 - 1982,5,"Station wagon
"
   Toyota Corolla Combi 1.3,1982 - 1983,5,"Station wagon
"
   Toyota Corolla Combi 1.3 DX,1984 - 1987,5,"Station wagon
"
   Toyota Corolla Stationwagon 1.3 XL,1988 - 1990,5,"Station wagon
"
   Toyota Corolla Stationwagon 1.3 i Spirit,1995 - 1995,5,"Station wagon
"
   Toyota Corolla Wagon 1.3 Linea Terra,1997 - 2000,5,"Station wagon
"
   Toyota Corolla Wagon 1.6 16v VVT-i Linea Terra,2000 - 2002,5,"Station wagon
"
   Toyota Corolla Wagon 1.4 16v VVT-i,2002 - 2004,5,"Station wagon
"
   Toyota Corolla Wagon 1.4 16v VVT-i Linea Terra,2004 - 2005,5,"Station wagon
"
   Toyota Corolla Coupe 1.6i GT,1983 - 1987,2,"Coupe
"
   Toyota Corolla Coupe 1.3 DX,1982 - 1983,3,"Coupe
"
   Toyota Corolla Verso 1.6 16v VVT-i Linea Terra,2002 - 2004,5,"MPV
"
   Toyota Corolla Verso 1.6 16v VVT-i,2004 - 2007,5,"MPV
"
   Toyota Funcruiser 2.0i,1994 - 1998,3,"SUV
"
   Toyota Funcruiser Hardtop 2.0i,1998 - 2000,3,"SUV
"
   Toyota Funcruiser Softtop 2.0i,1998 - 2000,3,"SUV
"
   Toyota Funcruiser Wagon 2.0i SR,1995 - 1998,5,"SUV
"
   Toyota Funcruiser Wagon 2.0i,1998 - 2000,5,"SUV
"
   Toyota GT86 2.0 D-4S Base,2012 - 2014,2,"Coupe
"
   Toyota Hilux Xtra Cabine 2.5 D-4D-F 2WD LX,2012 - 2014,2,"Pick-up
"
   Toyota Hilux Dubbele Cabine 2.5 D-4D-F 4WD LX,2012 - 2016,4,"Pick-up
"
   Toyota iQ 1.0 VVT-i Access,2010 - 2015,3,"Hatchback
"
   Toyota Land Cruiser 2.4 LX Hardtop,1985 - 1990,3,"SUV
"
   Toyota Land Cruiser 2.4 LX Hardtop,1990 - 1992,3,"SUV
"
   Toyota Land Cruiser 4.0 V6 VVT-i LX,2003 - 2004,3,"SUV
"
   Toyota Land Cruiser 3.0 D-4D LX,2010 - 2013,3,"SUV
"
   Toyota Land Cruiser Customwagon 4.2,1980 - 1985,5,"SUV
"
   Toyota Land Cruiser 4.0 V6 VVT-i LX,2003 - 2004,5,"SUV
"
   Toyota Land Cruiser 3.0 D-4D LX,2010 - 2013,5,"SUV
"
   Toyota Land Cruiser 4.0 D GX,1985 - 1990,5,"SUV
"
   Toyota Land Cruiser Customwagon 4.5i 24V VX,1995 - 1998,5,"SUV
"
   Toyota Land Cruiser 100 4.7 V8 Executive,1998 - 2002,5,"SUV
"
   Toyota Land Cruiser 100 4.7 V8 32v Executive,2002 - 2006,5,"SUV
"
   Toyota Land Cruiser V8 4.6 VVT-i Executive,2012 - 2016,5,"SUV
"
   Toyota MR2 1.6,1985 - 1988,2,"Coupe
"
   Toyota MR2 2.0 GT-i,1990 - 1994,2,"Coupe
"
   Toyota MR2 1.8 16v VVT-i,2000 - 2002,2,"Convertible
"
   Toyota MR2 1.8 16v VVT-i,2002 - 2005,2,"Convertible
"
   Toyota Paseo 1.5i,1996 - 1997,2,"Coupe
"
